"request_id","amount_safe_to_pay","affordability_status","recommended_payment_method","payment_plan","earliest_date_for_full_payment","spending_changes_needed","decision_explanation"
"request_119","0","not_affordable","not_recommended","none","","none","Do not make this payment by 17 July 2025. None of the available options keeps the INR 151,200 minimum protected."
"request_120","7714000","affordable_now","full_payment","2026-04-06:7714000","2026-04-06","none","Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
"request_121","633.60","affordable_now","full_payment","2024-03-03:633.60","2024-03-03","none","Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days."
"request_122","20558000","affordable_now","full_payment","2025-08-05:20558000","2025-08-05","none","Pay IDR 20,558,000 today. This leaves at least IDR 12,588,500 available over the next 90 days."
"request_123","4076000","affordable_now","full_payment","2026-01-07:4076000","2026-01-07","none","Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days."
"request_124","1462.02","affordable_later","wait","2024-07-15:3104.20","2024-07-15","none","Pay EUR 3,104.20 in full on 15 July 2024. Paying earlier would take the balance below the EUR 1,600 minimum."
"request_125","5131.74","not_affordable","not_recommended","none","","none","Do not make this payment by 14 November 2025. None of the available options keeps the ZAR 11,300 minimum protected."
"request_126","159600","affordable_now","full_payment","2026-07-03:159600","2026-07-03","none","Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days."
"request_127","0","not_affordable","not_recommended","none","","none","Do not proceed with the ZAR 23,980 request. Although ZAR 0 is available today, the full amount cannot be completed safely within 90 days."
"request_128","25168","affordable_now","full_payment","2025-02-07:25168","2025-02-07","none","Pay ZAR 25,168 today. This leaves at least ZAR 42,600 available over the next 90 days."
"request_129","68.95","not_affordable","not_recommended","none","","none","Do not make this payment by 18 June 2026. None of the available options keeps the USD 800 minimum protected."
"request_130","364.73","affordable_later","wait","2025-01-15:1978.80","2025-01-15","none","Pay USD 1,978.80 in full on 15 January 2025. Paying earlier would take the balance below the USD 1,400 minimum."
"request_131","1136.97","affordable_with_plan","partial_payment","2025-05-03:1136.97|2025-06-23:718.23","2025-06-23","none","Pay USD 1,136.97 today and the remaining USD 718.23 on 23 June 2025. This completes the full request and keeps the USD 1,100 minimum protected."
"request_132","291.49","affordable_with_plan","partial_payment","2026-01-05:291.49|2026-01-15:88.37","2026-01-15","none","Pay USD 291.49 today and the remaining USD 88.37 on 15 January 2026. This completes the full request and keeps the USD 1,100 minimum protected."
"request_133","15770000","affordable_now","full_payment","2024-03-07:15770000","2024-03-07","none","Pay IDR 15,770,000 today. This leaves at least IDR 9,986,200 available over the next 90 days."
"request_134","4451971.39","affordable_later","wait","2025-10-15:21831000","2025-10-15","none","Pay IDR 21,831,000 in full on 15 October 2025. Paying earlier would take the balance below the IDR 15,902,500 minimum."
"request_135","304.80","affordable_with_plan","full_payment","2026-07-06:304.80","2026-07-06","stop:event_12413","Stop the video streaming plan, then pay USD 304.80 today. This leaves at least USD 500 available."
"request_136","560.40","affordable_with_plan","full_payment","2024-06-03:560.40","2024-06-03","reduce_to:event_12498:27.20","reduce the household shopping to USD 27.20, then pay USD 560.40 today. This leaves at least USD 1,100 available."
"request_137","26148.16","affordable_later","wait","2026-01-15:80100","2026-01-15","none","Pay INR 80,100 in full on 15 January 2026. Paying earlier would take the balance below the INR 71,800 minimum."
"request_138","860.06","affordable_with_plan","partial_payment","2026-04-07:860.06|2026-04-15:396.88","2026-04-15","none","Pay EUR 860.06 today and the remaining EUR 396.88 on 15 April 2026. This completes the full request and keeps the EUR 2,300 minimum protected."
"request_139","1325.32","affordable_later","wait","2024-11-15:2316","2024-11-15","none","Pay USD 2,316 in full on 15 November 2024. Paying earlier would take the balance below the USD 1,500 minimum."
"request_140","0","not_affordable","not_recommended","none","","none","Do not make this payment by 4 March 2025. None of the available options keeps the ZAR 21,600 minimum protected."
"request_141","17561.55","not_affordable","not_recommended","none","","none","Do not proceed with the INR 171,600 request. Although INR 17,561.55 is available today, the full amount cannot be completed safely within 90 days."
"request_142","1263.60","affordable_now","full_payment","2024-12-05:1263.60","2024-12-05","none","Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
"request_143","2465.24","affordable_later","wait","2025-07-15:12584","2025-07-15","none","Pay ZAR 12,584 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 11,300 minimum."
"request_144","149.76","not_affordable","not_recommended","none","","none","Do not proceed with the USD 233.34 request. Although USD 149.76 is available today, the full amount cannot be completed safely within 90 days."
"request_145","12669.22","affordable_with_plan","partial_payment","2024-03-06:12669.22|2024-05-20:204730.78","2024-05-20","none","Pay INR 12,669.22 today and the remaining INR 204,730.78 on 20 May 2024. This completes the full request and keeps the INR 155,400 minimum protected."
"request_146","8989.19","not_affordable","not_recommended","none","","none","Do not proceed with the INR 449,400 request. Although INR 8,989.19 is available today, the full amount cannot be completed safely within 90 days."
"request_147","0","not_affordable","not_recommended","none","","none","Do not proceed with the EUR 1,129.70 request. Although EUR 0 is available today, the full amount cannot be completed safely within 90 days."
"request_148","7120.38","affordable_with_plan","partial_payment","2024-06-07:7120.38|2024-08-15:15121.62","2024-08-15","none","Pay ZAR 7,120.38 today and the remaining ZAR 15,121.62 on 15 August 2024. This completes the full request and keeps the ZAR 20,000 minimum protected."
"request_149","25043.86","affordable_later","wait","2025-12-15:36652","2025-12-15","none","Pay ZAR 36,652 in full on 15 December 2025. Paying earlier would take the balance below the ZAR 42,100 minimum."
"request_150","235.39","affordable_later","wait","2026-03-15:496.10","2026-03-15","none","Pay EUR 496.10 in full on 15 March 2026. Paying earlier would take the balance below the EUR 700 minimum."
"request_151","26999000","affordable_now","full_payment","2024-09-03:26999000","2024-09-03","none","Pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available over the next 90 days."
"request_152","11114.64","not_affordable","not_recommended","none","","none","Do not make this payment by 13 April 2025. None of the available options keeps the ZAR 11,900 minimum protected."
"request_153","0","not_affordable","not_recommended","none","","none","Do not make this payment by 24 September 2026. None of the available options keeps the USD 1,400 minimum protected."
"request_154","1625.80","affordable_with_plan","full_payment","2024-12-04:1625.80","2024-12-04","reduce_to:event_14186:27.20","reduce the personal shopping to EUR 27.20, then pay EUR 1,625.80 today. This leaves at least EUR 1,300 available."
"request_155","112500","affordable_now","full_payment","2025-05-06:112500","2025-05-06","none","Pay INR 112,500 today. This leaves at least INR 56,300 available over the next 90 days."
"request_156","9482.31","affordable_later","wait","2026-06-15:43076","2026-06-15","none","Pay ZAR 43,076 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 26,900 minimum."
"request_157","4753445.22","affordable_with_plan","partial_payment","2024-03-05:4753445.22|2024-04-15:18749554.78","2024-04-15","none","Pay IDR 4,753,445.22 today and the remaining IDR 18,749,554.78 on 15 April 2024. This completes the full request and keeps the IDR 15,714,100 minimum protected."
"request_158","242600","affordable_now","full_payment","2025-08-07:242600","2025-08-07","none","Pay INR 242,600 today. This leaves at least INR 131,400 available over the next 90 days."
"request_159","8361.59","not_affordable","not_recommended","none","","none","Do not proceed with the ZAR 13,398 request. Although ZAR 8,361.59 is available today, the full amount cannot be completed safely within 90 days."
"request_160","570.29","affordable_with_plan","partial_payment","2024-06-06:570.29|2024-07-15:676.01","2024-07-15","none","Pay EUR 570.29 today and the remaining EUR 676.01 on 15 July 2024. This completes the full request and keeps the EUR 1,200 minimum protected."
"request_161","0","not_affordable","not_recommended","none","","none","Do not make this payment by 15 January 2026. None of the available options keeps the IDR 23,010,400 minimum protected."
"request_162","0","not_affordable","not_recommended","none","","none","Do not make this payment by 26 August 2026. None of the available options keeps the IDR 24,161,100 minimum protected."
"request_163","7997644.28","not_affordable","not_recommended","none","","none","Do not make this payment by 15 November 2024. None of the available options keeps the IDR 26,728,700 minimum protected."
"request_164","27018000","affordable_now","full_payment","2025-02-04:27018000","2025-02-04","none","Pay IDR 27,018,000 today. This leaves at least IDR 29,550,500 available over the next 90 days."
"request_165","80600","affordable_now","full_payment","2026-04-06:80600","2026-04-06","none","Pay INR 80,600 today. This leaves at least INR 95,000 available over the next 90 days."
"request_166","2907.60","affordable_now","full_payment","2024-12-03:2907.60","2024-12-03","none","Pay USD 2,907.60 today. This leaves at least USD 1,700 available over the next 90 days."
"request_167","43802","affordable_now","full_payment","2025-05-05:43802","2025-05-05","none","Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
"request_168","30941.36","affordable_with_plan","partial_payment","2026-01-07:30941.36|2026-01-15:18438.64","2026-01-15","none","Pay INR 30,941.36 today and the remaining INR 18,438.64 on 15 January 2026. This completes the full request and keeps the INR 114,400 minimum protected."
"request_169","41976","affordable_now","full_payment","2024-03-04:41976","2024-03-04","none","Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
"request_170","30061352.60","affordable_later","wait","2025-09-15:36936000","2025-09-15","none","Pay IDR 36,936,000 in full on 15 September 2025. Paying earlier would take the balance below the IDR 24,715,800 minimum."
"request_171","0.24","not_affordable","not_recommended","none","","none","Do not make this payment by 10 September 2026. None of the available options keeps the EUR 500 minimum protected."
"request_172","9130.37","affordable_with_plan","partial_payment","2024-06-05:9130.37|2024-06-15:1069.63","2024-06-15","none","Pay ZAR 9,130.37 today and the remaining ZAR 1,069.63 on 15 June 2024. This completes the full request and keeps the ZAR 27,200 minimum protected."
"request_173","50624.53","affordable_with_plan","partial_payment","2025-11-07:50624.53|2026-01-15:62375.47","2026-01-15","none","Pay INR 50,624.53 today and the remaining INR 62,375.47 on 15 January 2026. This completes the full request and keeps the INR 79,100 minimum protected."
"request_174","1146.20","affordable_now","full_payment","2026-04-04:1146.20","2026-04-04","none","Pay EUR 1,146.20 today. This leaves at least EUR 700 available over the next 90 days."
"request_175","2346.30","affordable_now","full_payment","2024-09-06:2346.30","2024-09-06","none","Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
"request_176","308.12","not_affordable","not_recommended","none","","none","Do not make this payment by 27 February 2025. None of the available options keeps the EUR 600 minimum protected."
"request_177","1017.60","affordable_now","full_payment","2026-01-05:1017.60","2026-01-05","none","Pay USD 1,017.60 today. This leaves at least USD 1,300 available over the next 90 days."
"request_178","2938.10","affordable_now","full_payment","2024-12-07:2938.10","2024-12-07","none","Pay EUR 2,938.10 today. This leaves at least EUR 1,400 available over the next 90 days."
"request_179","6506134.10","affordable_later","wait","2025-07-15:41648000","2025-07-15","none","Pay IDR 41,648,000 in full on 15 July 2025. Paying earlier would take the balance below the IDR 41,430,800 minimum."
"request_180","0","not_affordable","not_recommended","none","","none","Do not proceed with the INR 66,500 request. Although INR 0 is available today, the full amount cannot be completed safely within 90 days."
"request_181","419.76","not_affordable","not_recommended","none","","none","Do not make this payment by 7 April 2024. None of the available options keeps the USD 2,000 minimum protected."
"request_182","65714","affordable_now","full_payment","2025-08-05:65714","2025-08-05","none","Pay ZAR 65,714 today. This leaves at least ZAR 31,100 available over the next 90 days."
"request_183","23516815.94","affordable_later","wait","2026-06-15:26866000","2026-06-15","none","Pay IDR 26,866,000 in full on 15 June 2026. Paying earlier would take the balance below the IDR 11,878,300 minimum."
"request_184","14820.45","not_affordable","not_recommended","none","","none","Do not make this payment by 30 July 2024. None of the available options keeps the INR 110,800 minimum protected."
"request_185","310.35","affordable_with_plan","partial_payment","2025-11-06:310.35|2026-01-15:946.95","2026-01-15","none","Pay EUR 310.35 today and the remaining EUR 946.95 on 15 January 2026. This completes the full request and keeps the EUR 1,300 minimum protected."
"request_186","3501.27","affordable_later","wait","2026-03-15:26554","2026-03-15","none","Pay ZAR 26,554 in full on 15 March 2026. Paying earlier would take the balance below the ZAR 22,000 minimum."
"request_187","37750.93","affordable_with_plan","partial_payment","2024-09-05:37750.93|2024-11-15:149749.07","2024-11-15","none","Pay INR 37,750.93 today and the remaining INR 149,749.07 on 15 November 2024. This completes the full request and keeps the INR 128,300 minimum protected."
"request_188","107.67","not_affordable","not_recommended","none","","none","Do not make this payment by 4 March 2025. None of the available options keeps the EUR 900 minimum protected."
"request_189","488.40","affordable_now","full_payment","2026-07-04:488.40","2026-07-04","none","Pay EUR 488.40 today. This leaves at least EUR 400 available over the next 90 days."
"request_190","545.84","affordable_with_plan","partial_payment","2024-12-06:545.84|2024-12-15:2011.66","2024-12-15","none","Pay EUR 545.84 today and the remaining EUR 2,011.66 on 15 December 2024. This completes the full request and keeps the EUR 1,600 minimum protected."
"request_191","664.40","affordable_now","full_payment","2025-05-03:664.40","2025-05-03","none","Pay EUR 664.40 today. This leaves at least EUR 500 available over the next 90 days."
"request_192","160.24","not_affordable","not_recommended","none","","none","Do not make this payment by 11 May 2026. None of the available options keeps the USD 1,000 minimum protected."
"request_193","31.02","affordable_later","wait","2024-03-15:1212.20","2024-03-15","none","Pay EUR 1,212.20 in full on 15 March 2024. Paying earlier would take the balance below the EUR 1,000 minimum."
"request_194","33536.98","affordable_later","wait","2025-10-23:132800","2025-10-23","none","Pay INR 132,800 in full on 23 October 2025. Paying earlier would take the balance below the INR 113,600 minimum."
"request_195","986.96","affordable_with_plan","partial_payment","2026-01-06:986.96|2026-02-15:183.44","2026-02-15","none","Pay EUR 986.96 today and the remaining EUR 183.44 on 15 February 2026. This completes the full request and keeps the EUR 700 minimum protected."
"request_196","762.30","affordable_now","full_payment","2024-06-03:762.30","2024-06-03","none","Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days."
"request_197","0","not_affordable","not_recommended","none","","none","Do not proceed with the IDR 50,939,000 request. Although IDR 0 is available today, the full amount cannot be completed safely within 90 days."
"request_198","185800","affordable_now","full_payment","2026-07-07:185800","2026-07-07","none","Pay INR 185,800 today. This leaves at least INR 124,300 available over the next 90 days."
"request_199","23674000","affordable_now","full_payment","2024-09-04:23674000","2024-09-04","none","Pay IDR 23,674,000 today. This leaves at least IDR 25,359,500 available over the next 90 days."
"request_200","21717000","affordable_now","full_payment","2025-02-06:21717000","2025-02-06","none","Pay IDR 21,717,000 today. This leaves at least IDR 20,114,600 available over the next 90 days."
"request_201","23997000","affordable_now","full_payment","2026-04-03:23997000","2026-04-03","none","Pay IDR 23,997,000 today. This leaves at least IDR 17,304,500 available over the next 90 days."
"request_202","123900","affordable_now","full_payment","2024-12-05:123900","2024-12-05","none","Pay INR 123,900 today. This leaves at least INR 147,800 available over the next 90 days."
"request_203","1442.10","affordable_now","full_payment","2025-05-07:1442.10","2025-05-07","none","Pay EUR 1,442.10 today. This leaves at least EUR 1,400 available over the next 90 days."
"request_204","163.46","not_affordable","not_recommended","none","","none","Do not proceed with the EUR 588.74 request. Although EUR 163.46 is available today, the full amount cannot be completed safely within 90 days."
"request_205","10621000","affordable_now","full_payment","2024-03-06:10621000","2024-03-06","none","Pay IDR 10,621,000 today. This leaves at least IDR 13,994,300 available over the next 90 days."
"request_206","1404.70","affordable_now","full_payment","2025-08-03:1404.70","2025-08-03","none","Pay EUR 1,404.70 today. This leaves at least EUR 900 available over the next 90 days."
"request_207","3435.28","affordable_with_plan","partial_payment","2026-07-05:3435.28|2026-07-15:8394.72","2026-07-15","none","Pay ZAR 3,435.28 today and the remaining ZAR 8,394.72 on 15 July 2026. This completes the full request and keeps the ZAR 13,600 minimum protected."
"request_208","3015814.30","affordable_later","wait","2024-06-15:4413000","2024-06-15","none","Pay IDR 4,413,000 in full on 15 June 2024. Paying earlier would take the balance below the IDR 10,470,700 minimum."
"request_209","681","not_affordable","not_recommended","none","","none","Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 18,400 minimum protected."
"request_210","867.12","affordable_with_plan","partial_payment","2026-04-06:867.12|2026-04-15:492.90","2026-04-15","none","Pay USD 867.12 today and the remaining USD 492.90 on 15 April 2026. This completes the full request and keeps the USD 2,000 minimum protected."
"request_211","265.15","affordable_with_plan","partial_payment","2024-09-03:265.15|2024-10-15:1523.45","2024-10-15","none","Pay EUR 265.15 today and the remaining EUR 1,523.45 on 15 October 2024. This completes the full request and keeps the EUR 1,500 minimum protected."
"request_212","4214619.21","not_affordable","not_recommended","none","","none","Do not proceed with the IDR 71,934,000 request. Although IDR 4,214,619.21 is available today, the full amount cannot be completed safely within 90 days."
"request_213","3362.40","affordable_now","full_payment","2026-01-07:3362.40","2026-01-07","none","Pay USD 3,362.40 today. This leaves at least USD 2,100 available over the next 90 days."
"request_214","38095.95","affordable_with_plan","partial_payment","2024-12-04:38095.95|2024-12-15:31654.05","2024-12-15","none","Pay INR 38,095.95 today and the remaining INR 31,654.05 on 15 December 2024. This completes the full request and keeps the INR 174,900 minimum protected."
"request_215","29986","affordable_now","full_payment","2025-05-06:29986","2025-05-06","none","Pay ZAR 29,986 today. This leaves at least ZAR 15,700 available over the next 90 days."
"request_216","477.28","affordable_later","wait","2026-09-15:3332.40","2026-09-15","none","Pay USD 3,332.40 in full on 15 September 2026. Paying earlier would take the balance below the USD 1,800 minimum."
"request_217","19532.66","affordable_later","wait","2024-03-15:37180","2024-03-15","none","Pay ZAR 37,180 in full on 15 March 2024. Paying earlier would take the balance below the ZAR 26,800 minimum."
"request_218","24459217.71","affordable_later","wait","2025-09-15:61142000","2025-09-15","none","Pay IDR 61,142,000 in full on 15 September 2025. Paying earlier would take the balance below the IDR 34,477,200 minimum."
"request_219","0","not_affordable","not_recommended","none","","none","Do not proceed with the EUR 1,673.10 request. Although EUR 0 is available today, the full amount cannot be completed safely within 90 days."
"request_220","74.94","not_affordable","not_recommended","none","","none","Do not proceed with the EUR 3,118.50 request. Although EUR 74.94 is available today, the full amount cannot be completed safely within 90 days."
"request_221","109800","affordable_now","full_payment","2025-11-03:109800","2025-11-03","none","Pay INR 109,800 today. This leaves at least INR 81,500 available over the next 90 days."
"request_222","34078","affordable_now","full_payment","2026-01-05:34078","2026-01-05","none","Pay ZAR 34,078 today. This leaves at least ZAR 27,300 available over the next 90 days."
"request_223","898.70","affordable_now","full_payment","2024-09-07:898.70","2024-09-07","none","Pay EUR 898.70 today. This leaves at least EUR 800 available over the next 90 days."
"request_224","10327000","affordable_now","full_payment","2025-02-04:10327000","2025-02-04","none","Pay IDR 10,327,000 today. This leaves at least IDR 22,187,600 available over the next 90 days."
"request_225","9636373.35","affordable_later","wait","2026-09-15:22059000","2026-09-15","none","Pay IDR 22,059,000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 17,670,700 minimum."
"request_226","157000","affordable_now","full_payment","2024-12-03:157000","2024-12-03","none","Pay INR 157,000 today. This leaves at least INR 209,400 available over the next 90 days."
"request_227","3283.49","not_affordable","not_recommended","none","","none","Do not make this payment by 20 June 2025. None of the available options keeps the INR 62,900 minimum protected."
"request_228","0","not_affordable","not_recommended","none","","none","Do not proceed with the IDR 63,327,000 request. Although IDR 0 is available today, the full amount cannot be completed safely within 90 days."
"request_229","516.03","affordable_later","wait","2024-05-15:1526.80","2024-05-15","none","Pay EUR 1,526.80 in full on 15 May 2024. Paying earlier would take the balance below the EUR 1,000 minimum."
"request_230","3537.60","affordable_now","full_payment","2025-08-06:3537.60","2025-08-06","none","Pay EUR 3,537.60 today. This leaves at least EUR 2,000 available over the next 90 days."
"request_231","30946.75","affordable_with_plan","partial_payment","2026-01-03:30946.75|2026-02-15:4759.25","2026-02-15","none","Pay ZAR 30,946.75 today and the remaining ZAR 4,759.25 on 15 February 2026. This completes the full request and keeps the ZAR 24,300 minimum protected."
"request_232","0","not_affordable","not_recommended","none","","none","Do not proceed with the EUR 1,970.10 request. Although EUR 0 is available today, the full amount cannot be completed safely within 90 days."
"request_233","0","not_affordable","not_recommended","none","","none","Do not proceed with the IDR 6,241,000 request. Although IDR 0 is available today, the full amount cannot be completed safely within 90 days."
"request_234","141.54","affordable_later","wait","2026-09-15:1213.30","2026-09-15","none","Pay EUR 1,213.30 in full on 15 September 2026. Paying earlier would take the balance below the EUR 700 minimum."
"request_235","967.20","affordable_now","full_payment","2024-09-06:967.20","2024-09-06","none","Pay USD 967.20 today. This leaves at least USD 700 available over the next 90 days."
"request_236","5890616.78","not_affordable","not_recommended","none","","none","Do not proceed with the IDR 52,383,000 request. Although IDR 5,890,616.78 is available today, the full amount cannot be completed safely within 90 days."
"request_237","23826000","affordable_now","full_payment","2026-04-05:23826000","2026-04-05","none","Pay IDR 23,826,000 today. This leaves at least IDR 22,431,500 available over the next 90 days."
"request_238","663.60","affordable_now","full_payment","2024-12-07:663.60","2024-12-07","none","Pay USD 663.60 today. This leaves at least USD 700 available over the next 90 days."
"request_239","642","affordable_now","full_payment","2025-05-04:642","2025-05-04","none","Pay USD 642 today. This leaves at least USD 600 available over the next 90 days."
"request_240","0","not_affordable","not_recommended","none","","none","Do not proceed with the INR 101,200 request. Although INR 0 is available today, the full amount cannot be completed safely within 90 days."
"request_241","21052000","affordable_now","full_payment","2024-03-03:21052000","2024-03-03","none","Pay IDR 21,052,000 today. This leaves at least IDR 19,252,000 available over the next 90 days."
"request_242","0","not_affordable","not_recommended","none","","none","Do not make this payment by 25 August 2025. None of the available options keeps the EUR 600 minimum protected."
"request_243","17468","affordable_now","full_payment","2026-07-07:17468","2026-07-07","none","Pay ZAR 17,468 today. This leaves at least ZAR 19,900 available over the next 90 days."
"request_244","49918","affordable_now","full_payment","2024-06-04:49918","2024-06-04","none","Pay ZAR 49,918 today. This leaves at least ZAR 45,900 available over the next 90 days."
"request_245","18473.12","affordable_later","wait","2026-01-15:128500","2026-01-15","none","Pay INR 128,500 in full on 15 January 2026. Paying earlier would take the balance below the INR 94,600 minimum."
"request_246","64086","affordable_now","full_payment","2026-04-03:64086","2026-04-03","none","Pay ZAR 64,086 today. This leaves at least ZAR 39,300 available over the next 90 days."
"request_247","1059.30","affordable_now","full_payment","2024-09-05:1059.30","2024-09-05","none","Pay EUR 1,059.30 today. This leaves at least EUR 1,300 available over the next 90 days."
"request_248","199.39","not_affordable","not_recommended","none","","none","Do not proceed with the USD 1,965.60 request. Although USD 199.39 is available today, the full amount cannot be completed safely within 90 days."
"request_249","118.71","affordable_later","wait","2026-03-15:643.20","2026-03-15","none","Pay USD 643.20 in full on 15 March 2026. Paying earlier would take the balance below the USD 600 minimum."
"request_250","15480.52","not_affordable","not_recommended","none","","none","Do not proceed with the ZAR 124,278 request. Although ZAR 15,480.52 is available today, the full amount cannot be completed safely within 90 days."
"request_251","1513.60","affordable_now","full_payment","2025-05-03:1513.60","2025-05-03","none","Pay EUR 1,513.60 today. This leaves at least EUR 1,300 available over the next 90 days."
"request_252","3991159.21","affordable_later","wait","2026-09-15:28082000","2026-09-15","none","Pay IDR 28,082,000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 15,152,200 minimum."
"request_253","1563.58","affordable_later","wait","2024-05-15:2840.20","2024-05-15","none","Pay EUR 2,840.20 in full on 15 May 2024. Paying earlier would take the balance below the EUR 2,300 minimum."
"request_254","510.95","affordable_with_plan","partial_payment","2025-08-04:510.95|2025-10-15:3024.25","2025-10-15","none","Pay USD 510.95 today and the remaining USD 3,024.25 on 15 October 2025. This completes the full request and keeps the USD 2,500 minimum protected."
"request_255","3345000","affordable_now","full_payment","2026-04-06:3345000","2026-04-06","none","Pay IDR 3,345,000 today. This leaves at least IDR 9,813,900 available over the next 90 days."
"request_256","0","not_affordable","not_recommended","none","","none","Do not make this payment by 19 August 2024. None of the available options keeps the INR 168,600 minimum protected."
"request_257","278.52","affordable_later","wait","2026-01-15:1352.40","2026-01-15","none","Pay USD 1,352.40 in full on 15 January 2026. Paying earlier would take the balance below the USD 1,600 minimum."
"request_258","1113.60","affordable_now","full_payment","2026-01-07:1113.60","2026-01-07","none","Pay USD 1,113.60 today. This leaves at least USD 500 available over the next 90 days."
"request_259","255.99","affordable_later","wait","2024-10-15:935","2024-10-15","none","Pay EUR 935 in full on 15 October 2024. Paying earlier would take the balance below the EUR 600 minimum."
"request_26","15656000","affordable_now","full_payment","2025-08-03:15656000","2025-08-03","none","Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
"request_260","7000846.32","not_affordable","not_recommended","none","","none","Do not proceed with the IDR 52,079,000 request. Although IDR 7,000,846.32 is available today, the full amount cannot be completed safely within 90 days."
"request_261","1830.40","affordable_now","full_payment","2026-07-03:1830.40","2026-07-03","none","Pay EUR 1,830.40 today. This leaves at least EUR 1,500 available over the next 90 days."
"request_262","9236000","affordable_now","full_payment","2024-12-05:9236000","2024-12-05","none","Pay IDR 9,236,000 today. This leaves at least IDR 31,018,500 available over the next 90 days."
"request_263","6510.56","not_affordable","not_recommended","none","","none","Do not proceed with the ZAR 51,546 request. Although ZAR 6,510.56 is available today, the full amount cannot be completed safely within 90 days."
